name,price
Python编程 从入门到实践,70.30
Python零基础入门学习-水木书荟,39.10
Python核心编程（第3版）,78.20
利用Python进行数据分析,70.30
Python 3.5从零开始学,46.60
Python基础教程(第2版 修订版) 计算机与互联网 书籍,56.00
Python编程快速上手 让繁琐工作自动化,51.80
Python编程（第4版 套装上下册）,148.50
Python基础教程（第3版）,78.10
“笨办法”学Python（第3版 附光盘1张）,38.70
O'Reilly：Python学习手册（第4版）,94.00
用Python写网络爬虫,35.50
精通Python网络爬虫：核心技术、框架与项目实战 计算机与互联网 书箱|5386911,45.50
数据结构 Python语言描述,54.50
流畅的Python,109.80
Python数据分析与挖掘实战,56.70
教孩子学编程 Python语言版,46.60
Python绝技：运用Python成为顶级黑客,62.40
量化投资：以Python为工具,74.30
Python网络数据采集,45.80
Python网络编程（第3版）+数据分析实战+核心编程第3版+编程快速上手【套装4册】 编程4本套装,264.00
Head First Python（第二版）,96.00
Python机器学习实践指南,61.40
Python程序设计开发宝典 董付国 计算机与互联网 书籍,51.70
父与子的编程之旅：与小卡特一起学Python,54.50
Python Cookbook（第3版）中文版,85.30
跟老齐学Python：Django实战,61.40
毫无障碍学Python,45.70
Python程序设计 第3版,54.50
Python爬虫开发与项目实战 计算机与互联网 书箱|5894193,52.10
Python语言及其应用,62.30
流畅的Python/图灵程序设计丛书,94.52
Python程序设计 计算机与互联网 书籍,75.80
Python编程与问题求解 教材教辅与参考书计算机与互联网 书籍,47.80
Selenium自动化测试 基于Python语言 计算机与互联网 书籍,39.20
Python即学即用 张燕妮主编 计算机与互联网 书籍,48.00
Python网络爬虫从入门到实践,38.22
Python Linux系统管理与自动化运维/Linux Unix技术丛书,69.42
Python网络编程(第3版)/图灵程序设计丛书,54.51
Python极客项目编程,47.61
Raspberry Pi编程指南(基于Python的游戏编程与机器人制作第2版),33.81
Python贝叶斯分析 计算机与互联网 编程语言与程序设计 应用教学 人民邮电出版社,48.30
Python袖珍指南(第5版) 计算机与互联网 书籍,36.10
Python机器学习实践:测试驱动的开发方法,47.20
程序员入门 全9册 java+C语言+Python+C#+C++从入门到精通 编程思想从入,625.30
Python数据分析实战/数据分析与决策技术丛书,61.62
精通Python自然语言处理,40.71
套装2册 流畅的Python+Python高性能编程  python编程教程书籍 pyt,160.60
包邮Python 3学习笔记+Python数据科学手册+Python机器学习基础教程,206.80
从零开始学Python网络爬虫 Python网络爬虫开发原理工具书,42.20
程序员入门 全9册 java+C语言+Python+C#+C++从入门到精通 编程思想从入,625.30
Python Web开发实战+Hibernate实战（第2版）+Spring Boot实战,187.00
包邮 从Python开始学编程 +Python Web开发实战 2本,117.00
包邮Python大战机器学习+Tensorflow：实战Google深度学习框架  2本,112.00
包邮数据科学家养成手册+Python大战机器学习+数据科学家修炼之道 3本,162.00
预测分析建模 Python与R语言实现 计算机与互联网 书籍,51.40
基于ArcGIS的Python编程秘笈(第2版) 计算机与互联网 书籍,50.40
